Number,InsType,FrameBegin,VersionCode,SenderID,ReceiverID,DataLinkCode,AreaID,IntersectionID,OperationType,ObjectID,Reserve,Content,FrameCheck,FrameEnd
0,OnlineRequest,0xc0,0x10,0x10,0x20,0x01,0x00,0x0001,0x81,0x01,0x0101010101,,0x00,0xc0
1,OnlineRequestReply,0xc0,0x10,0x20,0x10,0x01,0x00,0x0001,0x84,0x01,0x0101010101,,0x00,0xc0
2,OnlineQuery,0xc0,0x10,0x10,0x20,0x01,0x00,0x0001,0x80,0x01,TableNumber,,0x00,0xc0
3,OnlineQueryReply,0xc0,0x10,0x20,0x10,0x01,0x00,0x0001,0x83,0x01,TableNumber,,0x00,0xc0
4,TrafficInfoUpload,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x82,0x02,0x0101010101,*,0x00,0xc0
5,WorkStatusQuery,0xc0,0x10,0x20,0x10,0x02,0x00,0x0001,0x80,0x03,TableNumber,,0x00,0xc0
6,WorkStatusQueryReply,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x83,0x03,TableNumber,*,0x00,0xc0
7,WorkStatusUpload,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x82,0x03,0x0101010101,*,0x00,0xc0
8,LightStatusQuery,0xc0,0x10,0x20,0x10,0x02,0x00,0x0001,0x80,0x04,TableNumber,,0x00,0xc0
9,LightStatusQueryReply,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x83,0x04,TableNumber,*,0x00,0xc0
10,LightStatusUpload,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x82,0x04,0x0101010101,*,0x00,0xc0
11,TimeQuery,0xc0,0x10,0x20,0x10,0x02,0x00,0x0001,0x80,0x05,TableNumber,,0x00,0xc0
12,TimeQueryReply,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x83,0x05,TableNumber,*,0x00,0xc0
13,TimeSetting,0xc0,0x10,0x20,0x10,0x02,0x00,0x0001,0x81,0x05,0x0504030201,*,0x00,0xc0
14,TimeSettingReply,0xc0,0x10,0x10,0x20,0x02,0x00,0x0001,0x85,0x05,0x0504030201,,0x00,0xc0
15,SemaphoreGroupQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x06,TableNumber,,0x00,0xc0
16,SemaphoreGroupQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x06,TableNumber,*,0x00,0xc0
17,SemaphoreGroupSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x06,0x0504030201,*,0x00,0xc0
18,SemaphoreGroupSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x06,0x0504030201,,0x00,0xc0
19,PhaseQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x07,TableNumber,,0x00,0xc0
20,PhaseQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x07,TableNumber,*,0x00,0xc0
21,PhaseSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x07,0x0504030201,*,0x00,0xc0
22,PhaseSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x07,0x0504030201,,0x00,0xc0
23,TimingSchemeQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x08,TableNumber,,0x00,0xc0
24,TimingSchemeQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x08,TableNumber,*,0x00,0xc0
25,TimingSchemeSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x08,0x0504030201,*,0x00,0xc0
26,TimingSchemeSettingReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x85,0x08,0x0504030201,,0x00,0xc0
27,ScheduleQuery,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x80,0x09,TableNumber,,0x00,0xc0
28,ScheduleQueryReply,0xc0,0x10,0x10,0x20,0x03,0x00,0x0001,0x83,0x09,TableNumber,*,0x00,0xc0
29,ScheduleSetting,0xc0,0x10,0x20,0x10,0x03,0x00,0x0001,0x81,0x09,0x0504030201,*,0x00,0xc0
